lake;month;year;ocsed
BP;4;2006;1.290298404
BP;5;2006;0.565059239
BP;6;2006;1.182969964
BP;7;2006;0.450401479
BP;8;2006;0.948368788
BP;9;2006;0.652827301
BP;10;2006;0.985265643
BP;11;2006;0.453936626
BP;11;2006;0.572356326
BP;12;2006;1.229316547
BP;1;2007;0.384157917
BP;2;2007;0.814363309
BP;3;2007;1.340722369
BP;4;2007;1.490761563
BP;5;2007;2.500533381
BP;6;2007;2.469189805
BP;8;2007;1.674978864
BP;9;2007;1.341031595
BP;10;2007;0.548375355
BP;11;2007;0.856617894
BP;12;2007;0.682936758
BP;1;2008;0.613236386
BP;2;2008;1.24649431
BP;3;2008;0.705239374
BP;4;2008;0.836825127
BP;5;2008;0.637666238
BP;6;2008;2.69778762
BP;7;2008;1.763676181
BP;8;2008;1.455668094
BP;9;2008;0.947285986
BP;10;2008;0.443096514
BP;11;2008;0.501916573
BP;12;2008;0.300968162
BP;1;2009;0.453766501
BP;2;2009;0.604697156
BP;3;2009;0.798930469
BP;4;2009;1.016278847
BP;5;2009;1.489532823
BP;6;2009;2.323854619
BP;7;2009;1.144040649
BP;8;2009;0.779588949
BP;9;2009;0.382770535
BP;9;2009;0.450509379
BP;10;2009;0.560956532
BP;11;2009;0.344556485
BP;12;2009;0.308464934
BP;1;2010;0.369126108
BP;2;2010;0.501606559
BP;3;2010;0.894912793
BP;4;2010;0.783263222
BP;5;2010;1.678686261
BP;6;2010;0.883647226
BP;7;2010;1.004654831
BP;8;2010;1.95558584
BP;9;2010;0.25118022
BP;10;2010;0.36750908
BP;11;2010;0.102557223
BP;1;2011;1.195209839
BP;2;2011;0.420417071
BP;3;2011;1.112868166
BP;5;2011;1.029596576
BP;6;2011;0.47681661
BP;7;2011;0.161015709
BP;8;2011;0.350438674
BP;9;2011;0.607035571
BP;9;2011;0.395453255
BP;10;2011;0.465710983
BP;11;2011;0.334880595
BP;12;2012;1.857589765
BP;1;2012;0.483962959
BP;2;2012;0.485145516
BP;3;2012;0.281890205
BP;4;2012;0.749603002
BP;5;2012;0.625019471
BP;6;2012;1.751672114
BP;7;2012;1.475529737
BP;8;2012;0.688728246
BP;9;2012;0.837093319
BP;10;2012;0.093461779
BP;11;2012;0.259788798
BP;12;2012;0.442099121
BP;1;2013;0.230135094
BP;2;2013;0.428912306
BP;3;2013;0.295053954
BP;4;2013;0.169486746
BP;5;2013;0.581732509
BP;6;2013;0.912393282
BP;7;2013;2.204078146
